run_index,record_type,sample_id,sample_index,repetition_index,is_outlier,timestamp_utc,request_timestamp_utc,request_yaw_degrees,ground_truth_latitude,ground_truth_longitude,estimated_latitude,estimated_longitude,estimated_heading_degrees,identified_objects_used,identified_star_ids,cluster_id,inlier_count,outlier_count,latitude_error_degrees,longitude_error_degrees,latitude_error_meters,longitude_error_meters,error_distance_meters,cumulative_mean_error_meters
1,step,sample-000001,1,1,True,2026-09-23T19:56:03.858944Z,2026-09-23T18:56:47.227798Z,0.0,48.102655155569565,-105.34123947755451,27.383296163616343,-64.9508813028054,60.89627330724205,1,[],4,3,2,-20.71935899195322,40.39035817474911,-2303887.603232517,3551484.3854076695,4163159.488490023,
1,step,sample-000001,1,2,False,2026-09-23T19:56:03.860365Z,2026-09-23T20:01:33.435438Z,0.0,48.10262133576581,-105.3406784217924,48.13082188407212,-105.33720823381343,0.08609527515146666,28,"[""HIP_102422"",""HIP_105199"",""HIP_106032"",""HIP_11767"",""HIP_41704"",""HIP_44127"",""HIP_45860"",""HIP_46733"",""HIP_46853"",""HIP_47908"",""HIP_49669"",""HIP_50335"",""HIP_50372"",""HIP_50583"",""HIP_50801"",""HIP_53229"",""HIP_54872"",""HIP_81833"",""HIP_83000"",""HIP_83895"",""HIP_87585"",""HIP_87933"",""HIP_89937"",""HIP_91262"",""HIP_92420"",""HIP_93194"",""HIP_94376""]",1,3,2,0.028200548306308804,0.003470187978962258,3135.7579002563425,257.61091246269933,3146.321818392311,
1,step,sample-000001,1,3,True,2026-09-23T19:56:03.861454Z,2026-09-23T20:42:51.815269Z,0.0,48.10485846973837,-105.34308836649626,47.97611225683161,-105.11907409988135,0.20250662143190365,3,"[""HIP_92420"",""HIP_93194""]",1,3,2,-0.12874621290675492,0.2240142666149154,-14315.925699931353,16654.457305437427,21961.692366427313,
1,step,sample-000001,1,4,False,2026-09-23T19:56:03.862525Z,2026-09-23T20:25:43.336691Z,0.0,48.104402274713244,-105.3399301795701,48.13135101847635,-105.28625973294099,0.12824938296606617,25,"[""HIP_102422"",""HIP_105199"",""HIP_106032"",""HIP_11767"",""HIP_41704"",""HIP_44127"",""HIP_45860"",""HIP_46733"",""HIP_46853"",""HIP_50372"",""HIP_50801"",""HIP_81833"",""HIP_83000"",""HIP_83895"",""HIP_85670"",""HIP_87585"",""HIP_87833"",""HIP_87933"",""HIP_89937"",""HIP_91262"",""HIP_92420"",""HIP_93194"",""HIP_94376"",""HIP_97165""]",1,3,2,0.026948743763107075,0.05367044662909848,2996.563585901701,3984.1593554149053,4985.270009319363,
1,step,sample-000001,1,5,False,2026-09-23T19:56:03.863677Z,2026-09-23T19:48:29.549656Z,0.0,48.104301926720076,-105.3422138955167,48.116655850694436,-105.31833795381695,0.12055405408084786,20,"[""HIP_102422"",""HIP_105199"",""HIP_106032"",""HIP_11767"",""HIP_47508"",""HIP_47908"",""HIP_49669"",""HIP_50335"",""HIP_50583"",""HIP_54872"",""HIP_54879"",""HIP_81833"",""HIP_85670"",""HIP_87833"",""HIP_87933"",""HIP_91262"",""HIP_92420"",""HIP_94376"",""HIP_97165""]",1,3,2,0.012353923974359304,0.023875941699742498,1373.6936701013383,1772.65625608118,2242.6199898173586,
1,summary,sample-000001,1,,,2026-09-23T19:56:03.864790Z,,,48.10373485426907,-105.34125945145821,48.12627625108097,-105.31393530685712,0.11163290425832273,24,"[""HIP_102422"",""HIP_105199"",""HIP_106032"",""HIP_11767"",""HIP_41704"",""HIP_44127"",""HIP_45860"",""HIP_46733"",""HIP_46853"",""HIP_47508"",""HIP_47908"",""HIP_49669"",""HIP_50335"",""HIP_50372"",""HIP_50583"",""HIP_50801"",""HIP_53229"",""HIP_54872"",""HIP_54879"",""HIP_81833"",""HIP_83000"",""HIP_83895"",""HIP_85670"",""HIP_87585"",""HIP_87833"",""HIP_87933"",""HIP_89937"",""HIP_91262"",""HIP_92420"",""HIP_93194"",""HIP_94376"",""HIP_97165""]",1,3,2,0.02254139681189571,0.027324144601095668,2506.4889649646334,2028.4874962434233,3224.4764163537334,3224.4764163537334
2,step,sample-000002,2,1,True,2026-09-23T19:57:00.019514Z,2026-09-23T21:33:24.177071Z,0.0,-5.829821535954727,127.97395369777792,-2.55898673220376,-179.99999673019633,40.03859060965386,18,"[""HIP_30438"",""HIP_31685"",""HIP_32607"",""HIP_32759"",""HIP_36377"",""HIP_37819"",""HIP_38170"",""HIP_38414"",""HIP_39429"",""HIP_39953"",""HIP_41037"",""HIP_42536"",""HIP_42913"",""HIP_44816"",""HIP_45556"",""HIP_45941"",""HIP_46701""]",3,3,2,3.270834803750967,52.02604957202573,363700.2360695585,5769538.280777055,5779031.324122298,
2,step,sample-000002,2,2,False,2026-09-23T19:57:00.021818Z,2026-09-23T20:09:35.072925Z,0.0,-5.830172416689629,127.97257545603014,2.338778410303862,-179.99999999999113,2.5698018726482803,24,"[""HIP_17358"",""HIP_18246"",""HIP_23015"",""HIP_23416"",""HIP_23453"",""HIP_23767"",""HIP_24608"",""HIP_28360"",""HIP_28380"",""HIP_30122"",""HIP_30343"",""HIP_32246"",""HIP_32759"",""HIP_32768"",""HIP_33856"",""HIP_33977"",""HIP_34444"",""HIP_35264"",""HIP_35904"",""HIP_37229"",""HIP_38170"",""HIP_39429"",""HIP_39757"",""HIP_39953""]",3,3,2,8.168950826993491,52.027424543978725,908345.8879705487,5782500.644012645,5848287.169913014,
2,step,sample-000002,2,3,False,2026-09-23T19:57:00.022974Z,2026-09-23T21:11:38.762257Z,0.0,-5.831247842691838,127.9735951398992,2.080377832192323,-179.99999999941997,25.36635852693411,27,"[""HIP_23015"",""HIP_23416"",""HIP_23767"",""HIP_24608"",""HIP_28360"",""HIP_28380"",""HIP_30343"",""HIP_30438"",""HIP_31685"",""HIP_32246"",""HIP_32607"",""HIP_32759"",""HIP_32768"",""HIP_35264"",""HIP_37819"",""HIP_38170"",""HIP_38414"",""HIP_38827"",""HIP_39429"",""HIP_39757"",""HIP_39953"",""HIP_41037"",""HIP_42536"",""HIP_42570"",""HIP_42913"",""HIP_44816"",""HIP_45941""]",3,3,2,7.911625674884162,52.02640486068083,879732.6365579519,5781973.434669535,5843663.723256399,
2,step,sample-000002,2,4,False,2026-09-23T19:57:00.024169Z,2026-09-23T21:13:50.073683Z,0.0,-5.830413556226204,127.97118886579011,1.9546821190093004,-179.99999999989947,21.593913893221217,28,"[""HIP_15863"",""HIP_17358"",""HIP_23015"",""HIP_23416"",""HIP_23767"",""HIP_24608"",""HIP_27628"",""HIP_28360"",""HIP_28380"",""HIP_30438"",""HIP_31685"",""HIP_32246"",""HIP_32607"",""HIP_32768"",""HIP_33579"",""HIP_35264"",""HIP_36377"",""HIP_37819"",""HIP_38170"",""HIP_38414"",""HIP_39429"",""HIP_39757"",""HIP_39953"",""HIP_41037"",""HIP_42536"",""HIP_42913"",""HIP_44816"",""HIP_45941""]",3,3,2,7.785095675235504,52.028811134310445,865663.1425286833,5782031.120857929,5841749.49914647,
2,step,sample-000002,2,5,True,2026-09-23T19:57:00.025320Z,2026-09-23T21:32:21.009449Z,0.0,-5.828280834272232,127.9723087473352,4.5869602053473395,-179.999999998877,12.088835292938304,33,"[""HIP_17358"",""HIP_17702"",""HIP_18724"",""HIP_20889"",""HIP_20894"",""HIP_23015"",""HIP_23416"",""HIP_23453"",""HIP_23767"",""HIP_24608"",""HIP_25428"",""HIP_26451"",""HIP_28360"",""HIP_28380"",""HIP_31685"",""HIP_32607"",""HIP_35264"",""HIP_36377"",""HIP_37819"",""HIP_38414"",""HIP_38827"",""HIP_39429"",""HIP_39757"",""HIP_39953"",""HIP_41037"",""HIP_42536"",""HIP_42570"",""HIP_42913"",""HIP_44816"",""HIP_45556"",""HIP_45941"",""HIP_46701""]",3,3,2,10.415241039619572,52.02769125378779,1158121.9633858958,5784875.884209341,5891707.38405461,
2,summary,sample-000002,2,,,2026-09-23T19:57:00.026404Z,,,-5.829908008411593,127.97280205021934,2.1246127871684948,-179.99999999977018,16.542256651668705,26,"[""HIP_15863"",""HIP_17358"",""HIP_18246"",""HIP_23015"",""HIP_23416"",""HIP_23453"",""HIP_23767"",""HIP_24608"",""HIP_27628"",""HIP_28360"",""HIP_28380"",""HIP_30122"",""HIP_30343"",""HIP_30438"",""HIP_31685"",""HIP_32246"",""HIP_32607"",""HIP_32759"",""HIP_32768"",""HIP_33579"",""HIP_33856"",""HIP_33977"",""HIP_34444"",""HIP_35264"",""HIP_35904"",""HIP_36377"",""HIP_37229"",""HIP_37819"",""HIP_38170"",""HIP_38414"",""HIP_38827"",""HIP_39429"",""HIP_39757"",""HIP_39953"",""HIP_41037"",""HIP_42536"",""HIP_42570"",""HIP_42913"",""HIP_44816"",""HIP_45941""]",3,3,2,7.954520795580088,52.027197950010475,884502.3563571448,5782136.416655996,5844500.247932174,2923862.362174264
3,step,sample-000003,3,1,False,2026-09-23T19:57:35.142297Z,2026-09-23T20:56:42.497313Z,0.0,64.22601061369215,-47.146043741706535,64.18923468533458,-47.14729145692707,0.09674012959048793,14,"[""HIP_102488"",""HIP_103413"",""HIP_104060"",""HIP_104732"",""HIP_104887"",""HIP_106481"",""HIP_112158"",""HIP_67927"",""HIP_69673"",""HIP_71075"",""HIP_72105"",""HIP_73555"",""HIP_74666"",""HIP_93244""]",1,4,1,-0.03677592835757082,-0.001247715220529244,-4089.2966560056343,-60.36717110308988,4089.7422087991467,
